#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-08-20T05:18:33', checksum=2950940446, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0011775,poe-0.0013865,poe-0.0016326,poe-0.0019224,poe-0.0022636,poe-0.0026654,poe-0.0031386,poe-0.0036957,poe-0.0043517,poe-0.0051241,poe-0.0060336,poe-0.0071046,poe-0.0083657,poe-0.0098506,poe-0.0115991,poe-0.0136580,poe-0.0160823,poe-0.0189369,poe-0.0222983,poe-0.0262563,poe-0.0309168,poe-0.0364046,poe-0.0428665,poe-0.0504754,poe-0.0594349,poe-0.0699847,poe-0.0824071,poe-0.0970346,poe-0.1142584,poe-0.1345395,poe-0.1584205,poe-0.1865405,poe-0.2196518,poe-0.2586404,poe-0.3045496,poe-0.3586078,poe-0.4222614,poe-0.4972136,poe-0.5854700,poe-0.6893921,poe-0.8117606,poe-0.9558498,poe-1.1255150,poe-1.3252962,poe-1.5605390,poe-1.8375378,poe-2.1637044,poe-2.5477663,poe-3.0000000
174.82111,-41.16430,0.00000,9.660580E-01,9.609888E-01,9.546521E-01,9.468158E-01,9.374174E-01,9.263395E-01,9.126875E-01,8.964115E-01,8.773018E-01,8.546792E-01,8.289959E-01,7.989082E-01,7.651340E-01,7.270064E-01,6.854324E-01,6.400980E-01,5.906947E-01,5.392970E-01,4.864621E-01,4.335052E-01,3.798616E-01,3.282968E-01,2.796061E-01,2.332341E-01,1.919034E-01,1.542919E-01,1.236994E-01,9.542134E-02,7.180513E-02,5.364769E-02,3.912752E-02,2.818327E-02,2.036306E-02,1.428432E-02,9.700162E-03,6.740990E-03,4.644178E-03,3.259388E-03,2.137772E-03,1.482903E-03,7.495393E-04,5.153712E-04,3.592383E-04,2.186719E-04,1.249531E-04,7.809766E-05,4.685548E-05,3.124219E-05,1.562109E-05,1.562109E-05
174.72530,-41.28380,0.00000,9.647963E-01,9.593685E-01,9.527513E-01,9.447448E-01,9.348037E-01,9.227998E-01,9.084907E-01,8.913404E-01,8.713048E-01,8.479585E-01,8.209665E-01,7.899244E-01,7.550894E-01,7.166026E-01,6.746046E-01,6.296955E-01,5.809867E-01,5.304860E-01,4.782311E-01,4.249522E-01,3.736359E-01,3.226613E-01,2.751500E-01,2.309657E-01,1.903326E-01,1.536913E-01,1.210799E-01,9.507817E-02,7.344853E-02,5.412053E-02,4.072726E-02,2.991155E-02,2.118946E-02,1.496085E-02,1.085916E-02,7.546677E-03,5.016866E-03,3.554996E-03,2.589575E-03,1.732201E-03,1.155235E-03,8.431488E-04,5.621798E-04,4.060236E-04,2.498828E-04,1.717930E-04,1.249297E-04,1.093164E-04,7.807424E-05,6.246876E-05
174.78860,-41.25260,0.00000,9.650536E-01,9.597783E-01,9.532531E-01,9.450274E-01,9.350312E-01,9.230238E-01,9.087209E-01,8.919618E-01,8.719889E-01,8.488095E-01,8.220504E-01,7.905840E-01,7.561479E-01,7.179044E-01,6.754060E-01,6.293191E-01,5.805213E-01,5.291113E-01,4.765899E-01,4.243066E-01,3.733274E-01,3.218044E-01,2.739487E-01,2.301713E-01,1.900468E-01,1.549108E-01,1.228059E-01,9.561955E-02,7.323934E-02,5.475055E-02,3.992202E-02,2.920088E-02,2.086901E-02,1.460743E-02,1.020989E-02,7.283869E-03,4.815659E-03,3.243993E-03,2.293757E-03,1.591963E-03,9.835904E-04,7.026994E-04,5.153712E-04,3.123282E-04,1.718164E-04,1.093477E-04,4.686328E-05,3.124219E-05,1.562109E-05,0.000000E+00
174.80280,-41.24950,0.00000,9.651088E-01,9.597121E-01,9.531608E-01,9.449534E-01,9.352586E-01,9.234058E-01,9.091156E-01,8.924516E-01,8.728482E-01,8.496629E-01,8.229953E-01,7.924418E-01,7.577365E-01,7.179576E-01,6.758708E-01,6.284855E-01,5.793493E-01,5.280324E-01,4.756820E-01,4.227792E-01,3.701622E-01,3.203288E-01,2.725172E-01,2.279951E-01,1.880233E-01,1.515488E-01,1.191091E-01,9.198050E-02,7.005217E-02,5.255566E-02,3.882626E-02,2.846905E-02,2.089837E-02,1.459260E-02,1.020920E-02,7.096242E-03,5.094186E-03,3.445485E-03,2.308840E-03,1.389076E-03,9.367036E-04,6.245861E-04,4.528946E-04,3.436172E-04,1.718242E-04,1.562031E-04,1.093477E-04,4.686328E-05,3.124219E-05,1.562109E-05
174.76871,-41.28250,0.00000,9.648505E-01,9.594378E-01,9.528890E-01,9.447569E-01,9.348648E-01,9.228057E-01,9.083388E-01,8.913663E-01,8.712177E-01,8.480024E-01,8.210863E-01,7.900491E-01,7.558943E-01,7.169695E-01,6.742867E-01,6.281983E-01,5.797453E-01,5.281730E-01,4.757812E-01,4.232282E-01,3.722579E-01,3.223524E-01,2.749552E-01,2.302741E-01,1.906977E-01,1.539694E-01,1.227245E-01,9.580734E-02,7.306200E-02,5.455894E-02,4.047544E-02,2.977511E-02,2.151112E-02,1.490062E-02,1.044243E-02,7.252790E-03,5.110382E-03,3.337166E-03,2.262382E-03,1.451560E-03,9.992192E-04,5.778166E-04,3.904493E-04,2.186719E-04,1.249609E-04,6.247657E-05,4.686328E-05,1.562109E-05,0.000000E+00,0.000000E+00
174.77380,-41.32330,0.00000,9.641002E-01,9.586390E-01,9.517647E-01,9.434386E-01,9.334646E-01,9.214193E-01,9.069052E-01,8.896455E-01,8.694660E-01,8.456720E-01,8.184824E-01,7.873306E-01,7.522545E-01,7.134620E-01,6.713600E-01,6.261776E-01,5.777822E-01,5.264055E-01,4.743560E-01,4.215873E-01,3.697886E-01,3.200393E-01,2.732705E-01,2.282085E-01,1.879161E-01,1.514686E-01,1.208779E-01,9.465557E-02,7.289588E-02,5.531776E-02,4.096994E-02,3.006195E-02,2.183126E-02,1.563703E-02,1.079480E-02,7.282264E-03,5.078596E-03,3.367832E-03,2.386946E-03,1.560666E-03,1.092797E-03,7.339026E-04,4.372970E-04,2.186719E-04,7.809766E-05,3.123438E-05,1.562109E-05,0.000000E+00,0.000000E+00,0.000000E+00
174.79240,-41.30910,0.00000,9.744337E-01,9.715406E-01,9.678549E-01,9.631315E-01,9.572527E-01,9.502231E-01,9.414476E-01,9.309784E-01,9.181917E-01,9.028528E-01,8.848430E-01,8.635501E-01,8.389629E-01,8.101196E-01,7.772525E-01,7.400653E-01,6.996051E-01,6.551004E-01,6.071987E-01,5.555320E-01,5.037058E-01,4.491252E-01,3.963070E-01,3.436899E-01,2.941470E-01,2.478197E-01,2.049201E-01,1.661122E-01,1.321370E-01,1.020665E-01,7.769035E-02,5.914694E-02,4.331743E-02,3.136523E-02,2.247281E-02,1.516125E-02,1.050401E-02,7.190733E-03,4.721592E-03,2.838585E-03,1.591846E-03,9.522390E-04,4.528556E-04,2.811094E-04,1.561797E-04,4.686328E-05,4.686328E-05,3.124219E-05,1.562109E-05,0.000000E+00
174.78439,-41.32050,0.00000,9.730195E-01,9.698035E-01,9.656146E-01,9.602993E-01,9.538040E-01,9.460089E-01,9.363871E-01,9.247690E-01,9.107811E-01,8.938012E-01,8.738291E-01,8.510754E-01,8.243272E-01,7.935735E-01,7.585741E-01,7.202687E-01,6.779253E-01,6.321470E-01,5.828907E-01,5.317400E-01,4.796734E-01,4.273772E-01,3.748283E-01,3.231250E-01,2.763073E-01,2.323451E-01,1.916389E-01,1.549871E-01,1.222920E-01,9.592568E-02,7.238828E-02,5.417742E-02,3.915491E-02,2.840968E-02,2.065407E-02,1.409972E-02,9.654377E-03,6.709980E-03,4.411109E-03,2.994695E-03,1.841557E-03,1.186548E-03,6.714651E-04,3.903946E-04,2.498907E-04,1.405742E-04,6.248437E-05,3.124219E-05,1.562109E-05,0.000000E+00
174.78909,-41.32430,0.00000,9.640729E-01,9.586582E-01,9.519255E-01,9.434335E-01,9.335342E-01,9.213470E-01,9.069737E-01,8.896662E-01,8.694124E-01,8.454688E-01,8.180299E-01,7.870860E-01,7.520975E-01,7.131771E-01,6.709982E-01,6.249682E-01,5.768641E-01,5.256406E-01,4.728192E-01,4.198675E-01,3.685164E-01,3.185548E-01,2.713318E-01,2.279526E-01,1.869442E-01,1.513106E-01,1.198460E-01,9.465713E-02,7.323728E-02,5.467238E-02,4.019174E-02,2.976094E-02,2.114438E-02,1.522262E-02,1.082842E-02,7.314606E-03,4.877086E-03,3.446093E-03,2.480298E-03,1.623111E-03,9.680317E-04,7.182971E-04,4.997033E-04,3.592071E-04,2.030508E-04,9.372656E-05,4.686328E-05,1.562109E-05,1.562109E-05,0.000000E+00
174.82330,-41.30600,0.00000,9.641780E-01,9.587594E-01,9.519012E-01,9.435257E-01,9.333799E-01,9.214870E-01,9.071139E-01,8.898889E-01,8.695847E-01,8.458505E-01,8.185089E-01,7.878653E-01,7.523378E-01,7.126282E-01,6.696758E-01,6.244864E-01,5.751405E-01,5.243354E-01,4.718103E-01,4.193349E-01,3.670256E-01,3.159924E-01,2.697263E-01,2.259021E-01,1.847214E-01,1.488202E-01,1.177541E-01,9.255566E-02,7.137580E-02,5.409136E-02,3.951580E-02,2.889545E-02,2.074595E-02,1.460716E-02,1.019479E-02,6.663374E-03,4.410945E-03,3.134887E-03,1.950748E-03,1.202091E-03,7.807736E-04,4.841680E-04,3.279961E-04,2.811407E-04,1.562031E-04,9.372656E-05,3.124219E-05,1.562109E-05,0.000000E+00,0.000000E+00
