#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-08-20T05:18:33', checksum=2950940446, kind='quantile-0.15', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0010000,poe-0.0011775,poe-0.0013865,poe-0.0016326,poe-0.0019224,poe-0.0022636,poe-0.0026654,poe-0.0031386,poe-0.0036957,poe-0.0043517,poe-0.0051241,poe-0.0060336,poe-0.0071046,poe-0.0083657,poe-0.0098506,poe-0.0115991,poe-0.0136580,poe-0.0160823,poe-0.0189369,poe-0.0222983,poe-0.0262563,poe-0.0309168,poe-0.0364046,poe-0.0428665,poe-0.0504754,poe-0.0594349,poe-0.0699847,poe-0.0824071,poe-0.0970346,poe-0.1142584,poe-0.1345395,poe-0.1584205,poe-0.1865405,poe-0.2196518,poe-0.2586404,poe-0.3045496,poe-0.3586078,poe-0.4222614,poe-0.4972136,poe-0.5854700,poe-0.6893921,poe-0.8117606,poe-0.9558498,poe-1.1255150,poe-1.3252962,poe-1.5605390,poe-1.8375378,poe-2.1637044,poe-2.5477663,poe-3.0000000
174.82111,-41.16430,0.00000,9.601088E-01,9.533882E-01,9.449877E-01,9.344800E-01,9.219006E-01,9.068831E-01,8.886971E-01,8.679796E-01,8.440767E-01,8.147405E-01,7.819868E-01,7.421811E-01,7.025175E-01,6.578464E-01,6.083532E-01,5.560305E-01,5.046051E-01,4.552888E-01,4.033349E-01,3.520229E-01,3.080167E-01,2.634589E-01,2.263947E-01,1.880358E-01,1.548997E-01,1.261961E-01,1.011146E-01,8.231334E-02,6.246389E-02,4.791378E-02,3.487727E-02,2.469009E-02,1.685631E-02,1.143413E-02,7.273340E-03,4.489890E-03,3.194706E-03,1.898176E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.72530,-41.28380,0.00000,9.593064E-01,9.518963E-01,9.429656E-01,9.322952E-01,9.195806E-01,9.040948E-01,8.852270E-01,8.629350E-01,8.371621E-01,8.090798E-01,7.753903E-01,7.384159E-01,6.961432E-01,6.497818E-01,6.022772E-01,5.539838E-01,5.021219E-01,4.541985E-01,4.054185E-01,3.565429E-01,3.085054E-01,2.628766E-01,2.243082E-01,1.902259E-01,1.570941E-01,1.277680E-01,1.000355E-01,8.295587E-02,6.564607E-02,4.667549E-02,3.526322E-02,2.508011E-02,1.764244E-02,1.133525E-02,7.968085E-03,4.489890E-03,2.995505E-03,2.397102E-03,1.498876E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78860,-41.25260,0.00000,9.592008E-01,9.527053E-01,9.440327E-01,9.336557E-01,9.202054E-01,9.041709E-01,8.855366E-01,8.637138E-01,8.378770E-01,8.095564E-01,7.761098E-01,7.382329E-01,6.969918E-01,6.522247E-01,6.065494E-01,5.581120E-01,5.065827E-01,4.540893E-01,4.044076E-01,3.558976E-01,3.098180E-01,2.688962E-01,2.286397E-01,1.927292E-01,1.609626E-01,1.316842E-01,1.053288E-01,8.240531E-02,6.414986E-02,4.734266E-02,3.564898E-02,2.605455E-02,1.724947E-02,1.133525E-02,7.868857E-03,5.385426E-03,3.394207E-03,1.998001E-03,1.498876E-03,4.998750E-04,3.999000E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.80280,-41.24950,0.00000,9.592133E-01,9.520837E-01,9.434877E-01,9.326667E-01,9.200291E-01,9.040569E-01,8.858222E-01,8.634000E-01,8.377148E-01,8.098609E-01,7.779827E-01,7.402924E-01,6.989260E-01,6.511105E-01,6.025142E-01,5.508058E-01,4.985743E-01,4.455063E-01,3.960712E-01,3.487745E-01,3.007171E-01,2.619176E-01,2.237628E-01,1.874667E-01,1.565882E-01,1.297715E-01,1.026416E-01,8.020061E-02,6.330727E-02,4.772363E-02,3.429800E-02,2.312832E-02,1.734727E-02,1.192829E-02,7.670252E-03,3.493882E-03,2.397102E-03,1.399001E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.76871,-41.28250,0.00000,9.590048E-01,9.518242E-01,9.435161E-01,9.331028E-01,9.202533E-01,9.041620E-01,8.854679E-01,8.637003E-01,8.372434E-01,8.063688E-01,7.740855E-01,7.372363E-01,6.943761E-01,6.495714E-01,6.035875E-01,5.543399E-01,5.043561E-01,4.521753E-01,4.027978E-01,3.551897E-01,3.111964E-01,2.657458E-01,2.274044E-01,1.875491E-01,1.587777E-01,1.296843E-01,1.046137E-01,8.286445E-02,6.255733E-02,4.658006E-02,3.680510E-02,2.546995E-02,1.872250E-02,1.271835E-02,7.471945E-03,4.887995E-03,2.995505E-03,1.898176E-03,9.995002E-04,3.999000E-04,3.999000E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.77380,-41.32330,0.00000,9.580299E-01,9.506047E-01,9.417202E-01,9.311827E-01,9.176354E-01,9.019816E-01,8.831657E-01,8.623719E-01,8.368518E-01,8.069677E-01,7.713352E-01,7.350986E-01,6.919507E-01,6.463323E-01,5.988821E-01,5.499516E-01,4.976208E-01,4.464482E-01,3.977603E-01,3.509203E-01,3.079493E-01,2.645700E-01,2.271728E-01,1.924901E-01,1.566705E-01,1.244473E-01,1.025518E-01,8.277272E-02,6.321354E-02,4.819965E-02,3.487727E-02,2.517762E-02,1.774073E-02,1.271835E-02,6.975557E-03,3.992011E-03,2.496878E-03,1.399001E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.79240,-41.30910,0.00000,9.720907E-01,9.684315E-01,9.637856E-01,9.579754E-01,9.504860E-01,9.417027E-01,9.307131E-01,9.176766E-01,9.019521E-01,8.833759E-01,8.606128E-01,8.345010E-01,8.038939E-01,7.706255E-01,7.319816E-01,6.872650E-01,6.429573E-01,5.924127E-01,5.424170E-01,4.909963E-01,4.416656E-01,3.881063E-01,3.421623E-01,2.955932E-01,2.543508E-01,2.151007E-01,1.800402E-01,1.498138E-01,1.217289E-01,9.561443E-02,7.132830E-02,5.398750E-02,3.805684E-02,2.644399E-02,1.931110E-02,1.182946E-02,7.868857E-03,5.385426E-03,2.496878E-03,9.995002E-04,3.999000E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78439,-41.32050,0.00000,9.699712E-01,9.659013E-01,9.605689E-01,9.537179E-01,9.454370E-01,9.358159E-01,9.237165E-01,9.091640E-01,8.913148E-01,8.709682E-01,8.455060E-01,8.169507E-01,7.845226E-01,7.492244E-01,7.079996E-01,6.633795E-01,6.166077E-01,5.690540E-01,5.169782E-01,4.675140E-01,4.173682E-01,3.681477E-01,3.211119E-01,2.789130E-01,2.355508E-01,1.982031E-01,1.663987E-01,1.345451E-01,1.102360E-01,8.679959E-02,6.424350E-02,4.581717E-02,3.420136E-02,2.410471E-02,1.636462E-02,1.143413E-02,7.273340E-03,4.489890E-03,2.895779E-03,1.498876E-03,9.995002E-04,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.78909,-41.32430,0.00000,9.581348E-01,9.509197E-01,9.421903E-01,9.309345E-01,9.182506E-01,9.028404E-01,8.839228E-01,8.612386E-01,8.356077E-01,8.057468E-01,7.711982E-01,7.327845E-01,6.917979E-01,6.462978E-01,5.998829E-01,5.514790E-01,5.007251E-01,4.494844E-01,3.973387E-01,3.506601E-01,3.080897E-01,2.661128E-01,2.269410E-01,1.907924E-01,1.583575E-01,1.279426E-01,1.061344E-01,8.789439E-02,6.667285E-02,5.019588E-02,3.526322E-02,2.556745E-02,1.774073E-02,1.182946E-02,7.471945E-03,4.887995E-03,2.895779E-03,1.498876E-03,9.995002E-04,4.998750E-04,3.999000E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
174.82330,-41.30600,0.00000,9.579081E-01,9.509051E-01,9.421383E-01,9.309414E-01,9.177337E-01,9.018834E-01,8.838751E-01,8.609190E-01,8.349324E-01,8.042662E-01,7.715867E-01,7.347546E-01,6.913045E-01,6.458375E-01,5.976368E-01,5.492759E-01,4.983737E-01,4.487681E-01,3.978803E-01,3.500111E-01,3.058030E-01,2.632436E-01,2.239203E-01,1.907114E-01,1.577680E-01,1.295971E-01,1.031793E-01,8.167124E-02,6.293254E-02,4.810441E-02,3.468414E-02,2.469009E-02,1.685631E-02,1.192829E-02,7.372668E-03,3.992011E-03,2.796004E-03,1.498876E-03,4.998750E-04,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
