#,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-08-20T05:18:33', checksum=2950940446, investigation_time=1.0, ses_per_logic_tree_path=2000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
0,4,8.100000E+00,1.776326E+02,-3.989030E+01,1.000000E+01,Subduction Interface,2.101355E+02,8.026175E+00,9.000000E+01
1,3,8.300000E+00,1.786315E+02,-3.825114E+01,1.250000E+01,Subduction Interface,2.106407E+02,8.024635E+00,9.000000E+01
2,1,8.100000E+00,1.788075E+02,-3.833198E+01,1.000000E+01,Subduction Interface,2.105262E+02,8.027319E+00,9.000000E+01
3,2,8.400000E+00,1.757554E+02,-4.096349E+01,1.750000E+01,Subduction Interface,2.257292E+02,1.003695E+01,9.000000E+01
4,4,8.100000E+00,1.756218E+02,-4.087019E+01,2.000000E+01,Subduction Interface,2.256487E+02,1.004146E+01,9.000000E+01
5,2,9.000000E+00,1.773400E+02,-3.977914E+01,1.450000E+01,Subduction Interface,2.172938E+02,9.117088E+00,9.000000E+01
6,1,5.500000E+00,1.757000E+02,-3.860000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
7,2,5.500000E+00,1.758000E+02,-3.860000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
8,2,5.500000E+00,1.759000E+02,-3.860000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
9,1,6.500000E+00,1.757000E+02,-3.870000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
10,1,5.500000E+00,1.758000E+02,-3.870000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
11,1,6.500000E+00,1.758000E+02,-3.870000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
12,1,5.500000E+00,1.759000E+02,-3.870000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
13,5,5.500000E+00,1.761000E+02,-3.870000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
14,1,6.500000E+00,1.762000E+02,-3.870000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
15,2,5.500000E+00,1.756000E+02,-3.880000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
16,2,5.500000E+00,1.757000E+02,-3.880000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
17,4,5.500000E+00,1.758000E+02,-3.880000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
18,3,5.500000E+00,1.759000E+02,-3.880000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
19,1,5.500000E+00,1.760000E+02,-3.880000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
20,3,5.500000E+00,1.761000E+02,-3.880000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
21,1,6.500000E+00,1.761000E+02,-3.880000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
22,3,5.500000E+00,1.762000E+02,-3.880000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
23,4,5.500000E+00,1.755000E+02,-3.890000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
24,1,6.500000E+00,1.755000E+02,-3.890000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
25,2,5.500000E+00,1.756000E+02,-3.890000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
26,1,5.500000E+00,1.757000E+02,-3.890000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
27,1,5.500000E+00,1.758000E+02,-3.890000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
28,3,5.500000E+00,1.759000E+02,-3.890000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
29,2,5.500000E+00,1.760000E+02,-3.890000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
30,2,5.500000E+00,1.761000E+02,-3.890000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
31,1,5.500000E+00,1.755000E+02,-3.900000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
32,6,5.500000E+00,1.756000E+02,-3.900000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
33,3,5.500000E+00,1.757000E+02,-3.900000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
34,3,5.500000E+00,1.759000E+02,-3.900000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
35,3,5.500000E+00,1.760000E+02,-3.900000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
36,1,6.500000E+00,1.760000E+02,-3.900000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
37,5,5.500000E+00,1.754000E+02,-3.910000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
38,1,5.500000E+00,1.755000E+02,-3.910000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
39,2,5.500000E+00,1.756000E+02,-3.910000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
40,1,5.500000E+00,1.757000E+02,-3.910000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
41,1,6.500000E+00,1.757000E+02,-3.910000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
42,2,5.500000E+00,1.758000E+02,-3.910000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
43,1,6.500000E+00,1.758000E+02,-3.910000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
44,2,5.500000E+00,1.759000E+02,-3.910000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
45,2,5.500000E+00,1.754000E+02,-3.920000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
46,5,5.500000E+00,1.755000E+02,-3.920000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
47,2,5.500000E+00,1.756000E+02,-3.920000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
48,4,5.500000E+00,1.757000E+02,-3.920000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
49,1,5.500000E+00,1.758000E+02,-3.920000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
50,3,5.500000E+00,1.753000E+02,-3.930000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
51,2,5.500000E+00,1.754000E+02,-3.930000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
52,3,5.500000E+00,1.755000E+02,-3.930000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
53,5,5.500000E+00,1.756000E+02,-3.930000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
54,2,5.500000E+00,1.757000E+02,-3.930000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
55,2,5.500000E+00,1.752000E+02,-3.940000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
56,2,5.500000E+00,1.754000E+02,-3.940000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
57,2,6.500000E+00,1.754000E+02,-3.940000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
58,1,5.500000E+00,1.755000E+02,-3.940000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
59,1,5.500000E+00,1.756000E+02,-3.940000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
60,1,6.500000E+00,1.756000E+02,-3.940000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
61,2,5.500000E+00,1.757000E+02,-3.940000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
62,1,6.500000E+00,1.757000E+02,-3.940000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
63,1,5.500000E+00,1.752000E+02,-3.950000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
64,1,6.500000E+00,1.752000E+02,-3.950000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
65,4,5.500000E+00,1.753000E+02,-3.950000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
66,4,5.500000E+00,1.754000E+02,-3.950000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
67,1,5.500000E+00,1.755000E+02,-3.950000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
68,3,5.500000E+00,1.756000E+02,-3.950000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
69,1,5.500000E+00,1.751000E+02,-3.960000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
70,4,5.500000E+00,1.752000E+02,-3.960000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
71,1,5.500000E+00,1.753000E+02,-3.960000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
72,2,5.500000E+00,1.754000E+02,-3.960000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
73,1,5.500000E+00,1.755000E+02,-3.960000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
74,1,6.500000E+00,1.755000E+02,-3.960000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
75,2,5.500000E+00,1.751000E+02,-3.970000E+01,1.000000E+01,Volcanic,0.000000E+00,9.000000E+01,-9.000000E+01
